Series,Subset,Date,Season,Site,Latitude,Longitude,Transect,Transects,Station,Temperature,Visbility,Depth,DepthRange,Replicate,Species,Phase,Size,Abundance,a,b,allometric,Biomass,Holdfast Use,Blade Use ,Cover,Frondosity
1,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,25,1,0.0108,3.067,209.3658102,209.3658102,0,0,NA,NA
2,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,45,1,0.0108,3.067,1270.066717,1270.066717,0,0,NA,NA
3,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,50,1,0.0108,3.067,1754.546,1754.546,0,0,NA,NA
4,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,5,1,0.0108,3.067,1.503712323,1.503712323,0,1,NA,NA
5,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,5,1,0.0108,3.067,1.503712323,1.503712323,0,1,NA,NA
6,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,8,1,0.0108,3.067,6.356246712,6.356246712,0,1,NA,NA
7,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,6,1,0.0108,3.067,2.630350605,2.630350605,0,1,NA,NA
8,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,1,15,15,14.9,15,NA,Aplodactyluspunctatus,NA,30,1,0.0108,3.067,366.2306128,366.2306128,0,0,NA,NA
9,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Aplodactyluspunctatus,NA,25,1,0.0108,3.067,209.3658102,209.3658102,0,0,NA,NA
10,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,15,1,0.0208,2.969,64.54733011,64.54733011,0,0,NA,NA
11,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,30,1,0.0208,2.969,505.4012832,505.4012832,0,0,NA,NA
12,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,25,1,0.0208,2.969,294.1353489,294.1353489,0,0,NA,NA
13,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,35,1,0.0208,2.969,798.7325048,798.7325048,0,0,NA,NA
14,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,40,1,0.0208,2.969,1187.351894,1187.351894,0,0,NA,NA
15,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,35,1,0.0208,2.969,798.7325048,798.7325048,0,0,NA,NA
16,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,35,1,0.0208,2.969,798.7325048,798.7325048,0,0,NA,NA
