serie,Survey,Habitat,Exposure,Site,Zone,Sampler,Date,Transect,Station-replicate,Depth,Pseudoreplicate,Species,Abundance,Width,Stipes,High 1,High 2,Mean High,Length,Frondosity,comentario,Data_Entry,Num_parches
1,1,kelp,protected,Quintay,deep,keko,10-11-15,1,1,15.7,1,Lessonia trabeculata,1,44,25,na,na,#¡DIV/0!,53,5,,,
2,1,kelp,protected,Quintay,deep,keko,10-11-15,1,1,15.7,2,Lessonia trabeculata,1,26,14,na,na,#¡DIV/0!,70,5,,,
3,1,kelp,protected,Quintay,deep,keko,10-11-15,1,2,15.7,1,Lessonia trabeculata,1,37,5,na,na,#¡DIV/0!,28,5,,,
4,1,kelp,protected,Quintay,deep,keko,10-11-15,1,2,15.7,2,Lessonia trabeculata,1,32,4,na,na,#¡DIV/0!,94,5,,,
5,1,kelp,protected,Quintay,deep,keko,10-11-15,1,2,15.7,2,Lessonia trabeculata,1,30,5,na,na,#¡DIV/0!,93,5,,,
6,1,kelp,protected,Quintay,deep,keko,10-11-15,1,3,15.7,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
7,1,kelp,protected,Quintay,deep,keko,10-11-15,1,3,15.7,2,Lessonia trabeculata,1,18,2,na,na,#¡DIV/0!,72,5,,,
8,1,kelp,protected,Quintay,deep,keko,10-11-15,1,3,15.7,2,Lessonia trabeculata,1,33,4,na,na,#¡DIV/0!,50,5,,,
9,1,kelp,protected,Quintay,deep,keko,10-11-15,1,4,15.7,1,Lessonia trabeculata,1,21,1,na,na,#¡DIV/0!,90,5,,,
10,1,kelp,protected,Quintay,deep,keko,10-11-15,1,4,15.7,2,Lessonia trabeculata,1,25,4,na,na,#¡DIV/0!,80,5,,,
11,1,kelp,protected,Quintay,deep,keko,10-11-15,1,4,15.7,2,Lessonia trabeculata,1,30,5,na,na,#¡DIV/0!,44,5,,,
12,1,kelp,protected,Quintay,deep,keko,10-11-15,1,4,15.7,2,Lessonia trabeculata,1,25,11,na,na,#¡DIV/0!,50,5,,,
13,1,kelp,protected,Quintay,deep,keko,10-11-15,1,4,15.7,2,Lessonia trabeculata,1,30,5,na,na,#¡DIV/0!,86,5,,,
14,1,kelp,protected,Quintay,deep,keko,10-11-15,1,5,15.7,1,Lessonia trabeculata,1,42,11,na,na,#¡DIV/0!,100,5,,,
15,1,kelp,protected,Quintay,deep,keko,10-11-15,1,5,15.7,2,Lessonia trabeculata,1,51,11,na,na,#¡DIV/0!,72,5,,,
16,1,kelp,protected,Quintay,deep,keko,10-11-15,2,1,15.7,1,Lessonia trabeculata,1,24,4,na,na,#¡DIV/0!,54,5,,,
17,1,kelp,protected,Quintay,deep,keko,10-11-15,2,1,15.7,1,Lessonia trabeculata,1,38,5,na,na,#¡DIV/0!,62,5,,,
18,1,kelp,protected,Quintay,deep,keko,10-11-15,2,1,15.7,2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
19,1,kelp,protected,Quintay,deep,keko,10-11-15,2,2,15.7,1,Lessonia trabeculata,1,28,4,na,na,#¡DIV/0!,100,5,,,
20,1,kelp,protected,Quintay,deep,keko,10-11-15,2,2,15.7,2,Lessonia trabeculata,1,30,11,na,na,#¡DIV/0!,100,5,,,
21,1,kelp,protected,Quintay,deep,keko,10-11-15,2,2,15.7,2,Lessonia trabeculata,1,20,4,na,na,#¡DIV/0!,80,5,,,
22,1,kelp,protected,Quintay,deep,keko,10-11-15,2,3,15.7,2,Lessonia trabeculata,1,32,12,na,na,#¡DIV/0!,57,5,,,
23,1,kelp,protected,Quintay,deep,keko,10-11-15,2,4,15.7,1,Lessonia trabeculata,1,20,3,na,na,#¡DIV/0!,100,4,,,
24,1,kelp,protected,Quintay,deep,keko,10-11-15,2,4,15.7,2,Lessonia trabeculata,1,23,4,na,na,#¡DIV/0!,60,4,,,
25,1,kelp,protected,Quintay,deep,keko,10-11-15,2,4,15.7,2,Lessonia trabeculata,1,34,14,na,na,#¡DIV/0!,100,5,,,
26,1,kelp,protected,Quintay,deep,keko,10-11-15,2,5,15.7,1,Lessonia trabeculata,1,43,14,na,na,#¡DIV/0!,102,5,,,
27,1,kelp,protected,Quintay,deep,keko,10-11-15,2,5,15.7,1,Lessonia trabeculata,1,34,6,na,na,#¡DIV/0!,125,5,,,
28,1,kelp,protected,Quintay,deep,keko,10-11-15,2,5,15.7,2,Lessonia trabeculata,1,33,7,na,na,#¡DIV/0!,110,5,,,
29,1,kelp,protected,Quintay,deep,keko,10-11-15,2,5,15.7,2,Lessonia trabeculata,1,47,21,na,na,#¡DIV/0!,67,5,,,
30,1,kelp,protected,Quintay,deep,keko,10-11-15,3,1,15.7,1,Lessonia trabeculata,1,24,9,na,na,#¡DIV/0!,52,5,,,
31,1,kelp,protected,Quintay,deep,keko,10-11-15,3,1,15.7,1,Lessonia trabeculata,1,32,18,na,na,#¡DIV/0!,58,5,,,
32,1,kelp,protected,Quintay,deep,keko,10-11-15,3,1,15.7,2,Lessonia trabeculata,1,26,8,na,na,#¡DIV/0!,52,5,,,
33,1,kelp,protected,Quintay,deep,keko,10-11-15,3,2,15.7,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,roca,,
34,1,kelp,protected,Quintay,deep,keko,10-11-15,3,2,15.7,2,Lessonia trabeculata,1,25,11,na,na,#¡DIV/0!,66,5,,,
35,1,kelp,protected,Quintay,deep,keko,10-11-15,3,2,15.7,2,Lessonia trabeculata,1,18,4,na,na,#¡DIV/0!,75,4,,,
36,1,kelp,protected,Quintay,deep,keko,10-11-15,3,3,15.7,1,Lessonia trabeculata,1,21,3,na,na,#¡DIV/0!,44,5,,,
37,1,kelp,protected,Quintay,deep,keko,10-11-15,3,3,15.7,1,Lessonia trabeculata,1,25,2,na,na,#¡DIV/0!,50,4,,,
38,1,kelp,protected,Quintay,deep,keko,10-11-15,3,3,15.7,2,Lessonia trabeculata,1,32,12,na,na,#¡DIV/0!,77,5,,,
39,1,kelp,protected,Quintay,deep,keko,10-11-15,3,4,15.7,1,Lessonia trabeculata,1,3,,na,,#¡DIV/0!,,,,,
40,1,kelp,protected,Quintay,deep,keko,10-11-15,3,4,15.7,1,Lessonia trabeculata,1,3,,na,,#¡DIV/0!,,,,,
41,1,kelp,protected,Quintay,deep,keko,10-11-15,3,4,15.7,1,Lessonia trabeculata,1,3,,na,,#¡DIV/0!,,,,,
42,1,kelp,protected,Quintay,deep,keko,10-11-15,3,4,15.7,2,Lessonia trabeculata,1,20,3,na,na,#¡DIV/0!,62,4,,,
43,1,kelp,protected,Quintay,deep,keko,10-11-15,3,4,15.7,2,Lessonia trabeculata,1,21,3,na,na,#¡DIV/0!,70,4,,,
44,1,kelp,protected,Quintay,deep,keko,10-11-15,3,5,15.7,1,Lessonia trabeculata,1,25,3,na,na,#¡DIV/0!,47,5,,,
45,1,kelp,protected,Quintay,deep,keko,10-11-15,3,5,15.7,2,Lessonia trabeculata,1,30,5,na,na,#¡DIV/0!,45,5,,,
46,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,1,8.3,1,Lessonia trabeculata,1,30,6,na,na,#¡DIV/0!,63,5,,,
47,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,1,8.3,2,Lessonia trabeculata,1,57,15,na,na,#¡DIV/0!,87,5,coalescente,,
48,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,2,8.3,1,Lessonia trabeculata,1,30,9,na,na,#¡DIV/0!,44,5,,,
49,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,2,8.3,1,Lessonia trabeculata,1,18,3,na,na,#¡DIV/0!,50,5,,,
