Series,Subset,Date,Season,Site,Latitude,Longitude,Transect,station,Temperature,Visbility,Depth,Replicate,Species,Phase,Size(cm),Abundance,no. stipes,Biomass,Holdfast Use,Blade Use ,Cover(%),Frondosity,
1,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
2,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
3,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
4,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
5,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
6,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
7,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
8,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
9,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
10,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
11,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
12,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
13,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
14,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
15,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
16,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
17,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
18,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Chromis crusma,na,5,1,na,,0,0,na,na,
19,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,cheilodactylus variegatus,na,20,1,na,,0,0,na,na,
20,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,isacia conceptionis,na,30,1,na,,0,0,na,na,
21,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Aplodactylus punctatus,na,30,1,na,,1,0,na,na,
22,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Aplodactylus punctatus,na,35,1,na,,1,0,na,na,
23,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Aplodactylus punctatus,na,30,1,na,,0,0,na,na,
24,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,12,na,Aplodactylus punctatus,na,30,1,na,,1,0,na,na,
25,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,cheilodactylus variegatus,na,20,1,na,,0,1,na,na,
26,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,Aplodactylus punctatus,na,45,1,na,,1,0,na,na,
27,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,Aplodactylus punctatus,na,30,1,na,,0,0,na,na,
28,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,15,1,na,,0,0,na,na,
29,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,15,1,na,,0,0,na,na,
30,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,15,1,na,,0,0,na,na,
31,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,15,1,na,,0,0,na,na,
32,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,15,1,na,,0,0,na,na,
33,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,auchenionchus,na,15,1,na,,0,0,na,na,
34,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
35,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
36,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
37,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
38,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
39,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
40,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
41,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
42,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
43,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,chromis crusma,na,10,1,na,,0,0,na,na,
44,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,cheilodactylus variegatus,na,35,1,na,,0,1,na,na,
45,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,cheilodactylus variegatus,na,20,1,na,,0,1,na,na,
46,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,cheilodactylus variegatus,na,30,1,na,,0,1,na,na,
47,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,cheilodactylus variegatus,na,35,1,na,,0,0,na,na,
48,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,cheilodactylus variegatus,na,25,1,na,,0,0,na,na,
49,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,11,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
50,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,aplodactylus punctatus,na,40,1,na,,0,0,na,na,
51,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,scartichthys viridis,na,20,1,na,,0,0,na,na,
52,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,pinguipes chilensis,na,30,1,na,,0,0,na,na,
53,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,aplodactylus punctatus,na,10,1,na,,0,0,na,na,
54,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,aplodactylus punctatus,na,30,1,na,,0,0,na,na,
55,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,aplodactylus punctatus,na,45,1,na,,0,0,na,na,
56,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
57,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
58,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
59,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
60,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
61,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
62,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
63,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
64,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
65,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
66,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
67,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
68,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
69,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
70,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
71,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
72,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,10.5,na,trachurus murphy,na,30,1,na,,0,1,na,na,
73,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,5,1,na,,0,0,na,na,
74,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,5,1,na,,0,0,na,na,
75,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,5,1,na,,0,0,na,na,
