Serie,AMERB,Fecha colecta,dia,mes,ano,categoria,Especie,extraccion,peso,Diametro terreno ,Diametro extraida ,Circunferencia,Estipes,Largo total ,Estado reproductivo ,Soros liberados ,Largo hasta fronda,Observaciones
1,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.0800,NaN,12.0000,NaN,NaN,NaN,NaN,NaN,NaN,
2,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.0800,NaN,9.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
3,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,1.6600,NaN,10.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
4,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.6600,NaN,17.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
5,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.8600,NaN,10.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
6,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.8700,NaN,14.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
7,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,4.1000,NaN,19.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
8,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,12.5000,NaN,26.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
9,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.2000,NaN,11.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
10,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia trabeculata,Varada,4.8600,NaN,20.0000,NaN,NaN,NaN,0.0000,NaN,NaN,
11,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,8.1400,NaN,28.0000,NaN,NaN,85.0000,1.0000,NaN,NaN,
12,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,5.3800,NaN,29.0000,NaN,NaN,210.0000,1.0000,NaN,NaN,
13,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia trabeculata,Varada,0.0800,NaN,4.0000,NaN,NaN,55.0000,0.0000,NaN,NaN,
14,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,5.0400,NaN,30.0000,NaN,NaN,150.0000,0.0000,NaN,NaN,
15,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,6.3400,NaN,31.0000,NaN,NaN,126.0000,0.0000,NaN,NaN,
16,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.2800,NaN,9.0000,NaN,NaN,52.0000,0.0000,NaN,NaN,
17,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,3.6200,NaN,26.0000,NaN,NaN,123.0000,0.0000,NaN,NaN,
18,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,4.6600,NaN,27.0000,NaN,NaN,144.0000,0.0000,NaN,NaN,
19,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,1.3600,NaN,13.0000,NaN,NaN,58.0000,1.0000,NaN,NaN,
20,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.7400,NaN,9.0000,NaN,NaN,136.0000,0.0000,NaN,NaN,
21,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.9800,NaN,18.0000,NaN,NaN,90.0000,0.0000,NaN,NaN,
22,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.1600,NaN,10.0000,NaN,NaN,58.0000,0.0000,NaN,NaN,
23,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,2.1400,NaN,15.0000,NaN,NaN,170.0000,0.0000,NaN,NaN,
24,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.5800,NaN,16.0000,NaN,NaN,89.0000,0.0000,NaN,NaN,
25,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.4200,NaN,12.0000,NaN,NaN,83.0000,0.0000,NaN,NaN,
26,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,12.8200,NaN,39.0000,NaN,NaN,117.0000,0.0000,NaN,NaN,
27,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,2.6000,NaN,19.0000,NaN,NaN,145.0000,0.0000,NaN,NaN,
28,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,4.8600,NaN,26.0000,NaN,NaN,226.0000,0.0000,NaN,NaN,
29,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,1.2400,NaN,24.0000,NaN,NaN,115.0000,0.0000,NaN,NaN,
30,Quintay sector A,20-04-18,20,4,2018,Intermareal,Lessonia spicata,Varada,0.5800,NaN,15.0000,NaN,NaN,85.0000,0.0000,NaN,NaN,
31,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,3.5000,NaN,18.0000,NaN,6.0000,152.0000,1.0000,NaN,NaN,se sac— del transecto 2
32,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,7.6000,NaN,35.0000,NaN,4.0000,184.0000,1.0000,NaN,NaN,se sac— del transecto 2
33,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,3.0400,NaN,20.0000,NaN,13.0000,108.0000,1.0000,NaN,NaN,se sac— del transecto 2
34,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,2.0000,NaN,12.0000,NaN,1.0000,153.0000,1.0000,NaN,NaN,se sac— del transecto 2
35,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,0.6200,NaN,10.0000,NaN,1.0000,78.0000,1.0000,NaN,NaN,se sac— del transecto 2
36,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,0.5600,NaN,11.0000,NaN,1.0000,101.0000,1.0000,NaN,NaN,se sac— del transecto 2
37,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,3.5400,NaN,21.0000,NaN,7.0000,135.0000,1.0000,NaN,NaN,se sac— del transecto 2
38,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,2.8000,NaN,13.0000,NaN,1.0000,118.0000,1.0000,NaN,NaN,se sac— del transecto 2
39,Quintay sector B,24-05-18,24,5,2018,Submareal,Lessonia trabeculata,Barreteada,3.2800,NaN,21.0000,NaN,11.0000,118.0000,1.0000,NaN,NaN,se sac— del transecto 2
